subjectID,yr,lnPubs,gini,rnkCor,p01Pct,mdn01
2,2012,2.9527924,.25504416,.25356466,0,
2,2013,2.9258275,.26575023,.23847598,0,
2,2014,3.0141003,.27008522,.5002929,0,
2,2015,2.9566486,,,0,
3,1966,1.69897,0,,0,
3,1967,2.2504201,0,,0,
3,1968,2.4828737,.20512821,,0,
3,1969,2.4409091,.10033445,,0,
3,1970,2.3944516,0,,0,
3,1971,2.7015679,.24769433,.022051571,0,
3,1972,2.7489629,.12377767,,0,
3,1973,2.64836,.10343976,,0,
3,1974,2.651278,.077612862,,0,
3,1975,2.4785664,.11276329,-.025107767,0,
3,1976,2.4756713,.11066417,.19151704,0,
3,1977,2.5024271,.13523433,.018029196,0,
3,1978,2.4857213,.13110498,,0,
3,1979,2.5682018,.15186436,-.33999902,0,
3,1980,2.620136,.12565182,,.47961631,13
3,1981,2.6314437,.15247607,.1633473,.23364486,14
3,1982,2.651278,.16428855,,.22321428,19
3,1983,2.7664127,.1581398,.02332015,0,
3,1984,2.7803173,.17823215,,.33167496,18
3,1985,2.7803173,.1910509,.14326788,0,
3,1986,2.8142476,.16800903,.1406491,.30674848,7.5
3,1987,2.7581546,.16720802,.11542471,.34904015,7
3,1988,2.7283537,.18395954,.073193118,0,
3,1989,2.7671559,.15928872,.30619463,.6837607,6
3,1990,2.7176704,.18550296,.068515286,.38314176,5
3,1991,2.8904209,.17498504,.11105954,0,
3,1992,2.8819549,.15413202,.22063696,.26246721,5.5
3,1993,2.8750613,.18381929,.15530318,.13333334,3
3,1994,2.8819549,.14898932,.14858598,.1312336,1
3,1995,2.8864908,.15642491,.0038996669,.12987013,11
3,1996,2.9084849,.1941134,.22600201,.12345679,9
3,1997,2.8524799,.15714696,.16686396,.14044943,3
3,1998,2.9132838,.18236764,.11598855,.61050063,3
3,1999,2.9459608,.1527034,.17887968,.22650057,8
3,2000,3.2198465,.19592361,.23921269,.18083182,11
3,2001,3.2855573,.16827251,.042074516,.051813472,6
3,2002,3.27738,.17502818,.23355275,.15839493,6
3,2003,3.2911468,.18097764,,0,
3,2004,3.206826,.18743661,.085666612,0,
3,2005,3.1989319,.20860139,.27296111,.12650222,3.5
3,2006,3.1760912,.24208304,,.06666667,2
3,2007,3.4194601,.22402327,.44564959,.038066234,0
3,2008,3.4456041,.28932485,.42875123,.035842296,4
3,2009,3.4602964,.28768253,.46605605,.06930007,3
3,2010,3.5703094,.3205173,.49726689,.026896181,2
3,2011,3.6043341,.36609638,.62449294,.049738869,2
3,2012,3.5942819,.33466133,.65610152,.025451768,1
3,2013,3.6990569,.36812848,.59698606,0,
3,2014,3.580811,.33627138,.66362441,0,
3,2015,3.5692568,,,0,
5,1960,3.2319791,.20661569,,.11723329,9.5
5,1961,3.2206311,.23743477,.26087931,.12033694,3
5,1962,3.2764618,.26168206,.07731507,.31746033,1.5
5,1963,3.1711411,.22731249,.16746581,.20229265,9
5,1964,3.3193142,.22193307,.1897434,.095877275,3.5
5,1965,3.3461573,.23778853,.44200486,.36052275,8.5
5,1966,3.3531466,.23290826,.46671963,0,
5,1967,3.5005109,.22985888,,.031585597,8
5,1968,3.5366848,.24479824,.3081775,.1453066,6
5,1969,3.5706596,.2425966,.19183652,.026874496,4
